constituency_code,candidate_party_code,candidate_votes,win,winner,assembly_code
NA111,Pakistan Muslim League (N),110556,110556,1,NA
NA111,Pakistan National Muslim League,34849,110556,,NA
NA111,Pakistan Peoples Party Parliamentarians,2991,110556,,NA
NA111,Pakistan Sunni Tehreek,158,110556,,NA
NA111,Pakistan Tehreek-e-Insaf,85448,110556,,NA
NA111,Tehreek Labbaik Pakistan,8830,110556,,NA
NA112,All Pakistan Muslim League,199,125415,,NA
NA112,Independent,19834,125415,,NA
NA112,Pakistan Freedom Movement,146,125415,,NA
NA112,Pakistan Muslim League (N),125415,125415,1,NA
NA112,Pakistan Peoples Party Parliamentarians,2403,125415,,NA
NA112,Pakistan Tehreek-e-Insaf,121097,125415,,NA
NA112,Pakistan Tehreek-e-Insaf (Nazriati),450,125415,,NA
NA112,Tehreek Labbaik Pakistan,3650,125415,,NA
NA113,Allah-O-Akbar Tehreek,1594,128274,,NA
NA113,Independent,9117,128274,,NA
NA113,Mutahida Majlis-e-Amal Pakistan,237,128274,,NA
NA113,Pakistan Muslim League (N),106018,128274,,NA
NA113,Pakistan Peoples Party Parliamentarians,1655,128274,,NA
NA113,Pakistan Tehreek-e-Insaf,128274,128274,1,NA
NA113,Tehreek Labbaik Pakistan,8074,128274,,NA
NA114,Independent,76896,106036,,NA
NA114,Mustaqbil Pakistan,321,106036,,NA
NA114,Mutahida Majlis-e-Amal Pakistan,2111,106036,,NA
NA114,Pakistan Peoples Party Parliamentarians,105540,106036,,NA
NA114,Pakistan Tehreek-e-Insaf,106036,106036,1,NA
NA114,Tehreek Labbaik Pakistan,3916,106036,,NA
NA115,All Pakistan Muslim League,279,152134,,NA
NA115,Independent,152134,152134,1,NA
NA115,Mutahida Majlis-e-Amal Pakistan,301,152134,,NA
NA115,Pakistan Muslim League (N),9783,152134,,NA
NA115,Pakistan Tehreek-e-Insaf,91434,152134,,NA
NA116,Independent,186798,186798,1,NA
NA116,Pakistan Awami Raj,673,186798,,NA
NA116,Pakistan Peoples Party Parliamentarians,1303,186798,,NA
NA116,Pakistan Tehreek-e-Insaf,90736,186798,,NA
NA116,Tehreek Labbaik Pakistan,3343,186798,,NA
NA117,Allah-O-Akbar Tehreek,1991,71905,,NA
NA117,Independent,70583,71905,,NA
NA117,Pakistan Muslim League (N),71905,71905,1,NA
NA117,Pakistan Peoples Party Parliamentarians,2864,71905,,NA
NA117,Pakistan Tehreek-e-Insaf,67010,71905,,NA
NA117,Tehreek Labbaik Pakistan,19571,71905,,NA
NA119,Independent,1552,110231,,NA
NA119,Pakistan Muslim League (N),94072,110231,,NA
NA119,Pakistan Peoples Party Parliamentarians,2339,110231,,NA
NA119,Pakistan Tehreek-e-Insaf,110231,110231,1,NA
NA119,Tehreek Labbaik Pakistan,21493,110231,,NA
NA12,Awami National Party,990,34270,,NA
NA12,Independent,15147,34270,,NA
NA12,Mutahida Majlis-e-Amal Pakistan,23881,34270,,NA
NA12,Pakistan Muslim League,937,34270,,NA
NA12,Pakistan Peoples Party Parliamentarians,12427,34270,,NA
NA12,Pakistan Tehreek-e-Insaf,34270,34270,1,NA
NA12,Qaumi Watan Party,536,34270,,NA
NA120,All Pakistan Muslim League,193,99674,,NA
NA120,Independent,4207,99674,,NA
NA120,Pakistan Freedom Movement,183,99674,,NA
NA120,Pakistan Muslim League (N),99674,99674,1,NA
NA120,Pakistan Peoples Party Parliamentarians,2420,99674,,NA
NA120,Pakistan Tehreek-e-Insaf,74165,99674,,NA
NA120,Tehreek Labbaik Pakistan,35453,99674,,NA
NA121,Allah-O-Akbar Tehreek,4355,101622,,NA
NA121,Barabri Party Pakistan,283,101622,,NA
NA121,Independent,36444,101622,,NA
NA121,Pakistan Muslim League (N),101622,101622,1,NA
NA121,Pakistan Peoples Party Parliamentarians,5298,101622,,NA
NA121,Pakistan Tehreek-e-Insaf,71308,101622,,NA
NA121,Tehreek Labbaik Pakistan,20930,101622,,NA
NA122,Allah-O-Akbar Tehreek,5019,96000,,NA
NA122,Amun Taraqqi Party,135,96000,,NA
NA122,Independent,43633,96000,,NA
NA122,Mutahida Majlis-e-Amal Pakistan,2248,96000,,NA
NA122,Pakistan Muslim League (N),96000,96000,1,NA
NA122,Pakistan Peoples Party Parliamentarians,16697,96000,,NA
NA122,Pakistan Tehreek-e-Insaf,64616,96000,,NA
NA122,Pakistan Tehreek-e-Insaf (Nazriati),621,96000,,NA
NA122,Tehreek-e-Difa-e-Pakistan,34545,96000,,NA
NA123,Allah-O-Akbar Tehreek,1813,97093,,NA
NA123,Amun Taraqqi Party,70,97093,,NA
NA123,Independent,2719,97093,,NA
NA123,Mutahida Majlis-e-Amal Pakistan,2487,97093,,NA
NA123,Pakistan Muslim League (N),97093,97093,1,NA
NA123,Pakistan Peoples Party Parliamentarians,3097,97093,,NA
NA123,Pakistan Tehreek-e-Insaf,72535,97093,,NA
NA123,Tehreek Labbaik Pakistan,24057,97093,,NA
NA124,Independent,7255,146294,,NA
NA124,Mutahida Majlis-e-Amal Pakistan,3572,146294,,NA
NA124,Pak Sarzameen Party,452,146294,,NA
NA124,Pakistan Muslim League (N),146294,146294,1,NA
NA124,Pakistan Peoples Party Parliamentarians,1515,146294,,NA
NA124,Pakistan Tehreek-e-Insaf,80981,146294,,NA
NA124,Tehreek Labbaik Pakistan,14832,146294,,NA
NA125,Allah-O-Akbar Tehreek,2620,112470,,NA
NA125,Independent,530,112470,,NA
NA125,Mutahida Majlis-e-Amal Pakistan,1789,112470,,NA
NA125,Pak Sarzameen Party,100,112470,,NA
NA125,Pakistan Muslim League (N),112470,112470,1,NA
NA125,Pakistan Peoples Party Parliamentarians,2392,112470,,NA
NA125,Pakistan Tehreek-e-Insaf,97707,112470,,NA
NA125,Tehreek Labbaik Pakistan,12782,112470,,NA
NA126,All Pakistan Muslim League,381,105482,,NA
NA126,Pakistan Muslim League (N),102413,105482,,NA
NA126,Pakistan Peoples Party Parliamentarians,3194,105482,,NA
NA126,Pakistan Tehreek-e-Insaf,105482,105482,1,NA
NA126,Tehreek Labbaik Pakistan,16269,105482,,NA
NA127,All Pakistan Muslim League,273,113265,,NA
NA127,Allah-O-Akbar Tehreek,2044,113265,,NA
NA127,Independent,394,113265,,NA
NA127,Muttahida Qaumi Movement Pakistan,1426,113265,,NA
NA127,Pakistan Muslim League (N),113265,113265,1,NA
NA127,Pakistan Peoples Party Parliamentarians,1775,113265,,NA
NA127,Pakistan Tehreek-e-Insaf,66818,113265,,NA
NA127,Tehreek Labbaik Pakistan,23140,113265,,NA
NA128,Amun Taraqqi Party,88,98199,,NA
NA128,Independent,1973,98199,,NA
NA128,Mutahida Majlis-e-Amal Pakistan,6723,98199,,NA
NA128,Pakistan Muslim League (N),98199,98199,1,NA
NA128,Pakistan Peoples Party Parliamentarians,6589,98199,,NA
NA128,Pakistan Tehreek-e-Insaf,52774,98199,,NA
NA128,Tehreek-e-Labbaik Islam,20734,98199,,NA
NA129,Independent,1241,103049,,NA
NA129,National Party,124,103049,,NA
NA129,Pakistan Muslim League (N),103049,103049,1,NA
NA129,Pakistan Peoples Party Parliamentarians,2570,103049,,NA
NA129,Pakistan Tehreek-e-Insaf,94893,103049,,NA
NA129,Tehreek Labbaik Pakistan,12885,103049,,NA
NA13,Awami National Party,186,118538,,NA
NA13,Humdardan-e-Watan Pakistan,143,118538,,NA
NA13,Independent,118538,118538,1,NA
NA13,Mutahida Majlis-e-Amal Pakistan,19749,118538,,NA
NA13,Pak Sarzameen Party,753,118538,,NA
NA13,Pakistan Muslim League,592,118538,,NA
NA13,Pakistan Muslim League (N),106688,118538,,NA
NA13,Tehreek Labbaik Pakistan,4641,118538,,NA
NA130,Independent,1047,127271,,NA
NA130,Mutahida Majlis-e-Amal Pakistan,5167,127271,,NA
NA130,Pak Sarzameen Party,108,127271,,NA
NA130,Pakistan Freedom Movement,220,127271,,NA
NA130,Pakistan Muslim League (N),104561,127271,,NA
NA130,Pakistan Peoples Party Parliamentarians,2512,127271,,NA
NA130,Pakistan Quami Yakjehti Party,414,127271,,NA
NA130,Pakistan Tehreek-e-Insaf,127271,127271,1,NA
NA130,Tehreek Labbaik Pakistan,10727,127271,,NA
NA132,All Pakistan Muslim League,543,95811,,NA
NA132,Barabri Party Pakistan,447,95811,,NA
NA132,Independent,3592,95811,,NA
NA132,Jamhoori Watan Party,75,95811,,NA
NA132,Mutahida Majlis-e-Amal Pakistan,1616,95811,,NA
NA132,Pakistan Muslim League (N),95811,95811,1,NA
NA132,Pakistan Peoples Party Parliamentarians,24420,95811,,NA
NA132,Pakistan Tehreek-e-Insaf,49093,95811,,NA
NA132,Tehreek Labbaik Pakistan,7325,95811,,NA
NA132,Tehreek-e-Labbaik Islam,4047,95811,,NA
NA133,All Pakistan Muslim League,251,65355,,NA
NA133,Barabri Party Pakistan,72,65355,,NA
NA133,Independent,1921,65355,,NA
NA133,Mutahida Majlis-e-Amal Pakistan,1335,65355,,NA
NA133,Pakistan Muslim League (N),65355,65355,1,NA
NA133,Pakistan Peoples Party Parliamentarians,3830,65355,,NA
NA133,Pakistan Tehreek-e-Insaf,55662,65355,,NA
NA133,Tehreek Labbaik Pakistan,10380,65355,,NA
NA134,All Pakistan Muslim League,720,76291,,NA
NA134,Allah-O-Akbar Tehreek,675,76291,,NA
NA134,Independent,759,76291,,NA
NA134,Mutahida Majlis-e-Amal Pakistan,1454,76291,,NA
NA134,National Party,381,76291,,NA
NA134,Pakistan Muslim League (N),76291,76291,1,NA
NA134,Pakistan Peoples Party Parliamentarians,5425,76291,,NA
NA134,Pakistan Tehreek-e-Insaf,45991,76291,,NA
NA134,Tehreek Labbaik Pakistan,9901,76291,,NA
NA135,Independent,32,3630,,NA
NA135,Mutahida Majlis-e-Amal Pakistan,284,3630,,NA
NA135,Pak Sarzameen Party,5,3630,,NA
NA135,Pakistan Muslim League (Council),4,3630,,NA
NA135,Pakistan Muslim League (N),2991,3630,,NA
NA135,Pakistan Peoples Party Parliamentarians,90,3630,,NA
NA135,Pakistan Tehreek-e-Insaf,3630,3630,1,NA
NA135,Tehreek Labbaik Pakistan,378,3630,,NA
NA136,Independent,5263,88913,,NA
NA136,Mutahida Majlis-e-Amal Pakistan,1548,88913,,NA
NA136,Pakistan Muslim League (N),88913,88913,1,NA
NA136,Pakistan Peoples Party (Shaheed Bhutto),833,88913,,NA
NA136,Pakistan Peoples Party Parliamentarians,9003,88913,,NA
NA136,Pakistan Tehreek-e-Insaf,44665,88913,,NA
NA136,Tehreek Labbaik Pakistan,12676,88913,,NA
NA137,Allah-O-Akbar Tehreek,3522,121207,,NA
NA137,Independent,44418,121207,,NA
NA137,Pakistan Muslim League (N),121207,121207,1,NA
NA137,Pakistan Peoples Party Parliamentarians,33717,121207,,NA
NA137,Pakistan Tehreek-e-Insaf,42930,121207,,NA
NA137,Roshan Pakistan League,2525,121207,,NA
NA137,Tehreek Labbaik Pakistan,17349,121207,,NA
NA138,Independent,24969,109385,,NA
NA138,Mutahida Majlis-e-Amal Pakistan,12074,109385,,NA
NA138,Pakistan Muslim League (N),109385,109385,1,NA
NA138,Pakistan Peoples Party Parliamentarians,16490,109385,,NA
NA138,Pakistan Tehreek-e-Insaf,78458,109385,,NA
NA138,Pakistan Tehreek-e-Insaf (Nazriati),475,109385,,NA
NA138,Roshan Pakistan League,1740,109385,,NA
NA138,Tehreek Labbaik Pakistan,15086,109385,,NA
NA138,Tehreek-e-Labbaik Islam,414,109385,,NA
NA139,Aam Awam Party,38,122529,,NA
NA139,Independent,13919,122529,,NA
NA139,Pakistan Muslim League (N),122529,122529,1,NA
NA139,Pakistan Peoples Party Parliamentarians,10387,122529,,NA
NA139,Pakistan Tehreek-e-Insaf,114407,122529,,NA
NA139,Pakistan Tehreek-e-Insaf (Nazriati),563,122529,,NA
NA139,Tehreek Labbaik Pakistan,15605,122529,,NA
NA14,Allah-O-Akbar Tehreek,713,74889,,NA
NA14,Independent,4893,74889,,NA
NA14,Mutahida Majlis-e-Amal Pakistan,45449,74889,,NA
NA14,Pakistan Muslim League,7182,74889,,NA
NA14,Pakistan Muslim League (N),74889,74889,1,NA
NA14,Pakistan Tehreek-e-Insaf,59638,74889,,NA
NA14,Qaumi Watan Party,4922,74889,,NA
NA14,Tehreek Labbaik Pakistan,6290,74889,,NA
NA140,Independent,6280,124621,,NA
NA140,Mutahida Majlis-e-Amal Pakistan,1955,124621,,NA
NA140,Pakistan Muslim League (N),124385,124621,,NA
NA140,Pakistan Peoples Party Parliamentarians,6449,124621,,NA
NA140,Pakistan Tehreek-e-Insaf,124621,124621,1,NA
NA140,Pakistan Tehreek-e-Insaf (Nazriati),301,124621,,NA
NA140,Tehreek Labbaik Pakistan,15500,124621,,NA
NA140,Tehreek-e-Labbaik Islam,2490,124621,,NA
NA141,Independent,99509,99509,1,NA
NA141,Pakistan Muslim League (N),92841,99509,,NA
NA141,Pakistan Peoples Party,10310,99509,,NA
NA141,Pakistan Tehreek-e-Insaf,60217,99509,,NA
NA142,Independent,5854,140733,,NA
NA142,Pakistan Kissan Ittehad (Ch. Anwar),202,140733,,NA
NA142,Pakistan Muslim League (N),140733,140733,1,NA
NA142,Pakistan Peoples Party Parliamentarians,4013,140733,,NA
NA142,Pakistan Tehreek-e-Insaf,76592,140733,,NA
NA142,Pakistan Tehreek-e-Insaf-Gulalai,197,140733,,NA
NA142,Tehreek Labbaik Pakistan,5679,140733,,NA
NA142,Tehreek-e-Labbaik Islam,1922,140733,,NA
NA143,Independent,5073,142988,,NA
NA143,Pakistan Muslim League (N),142988,142988,1,NA
NA143,Pakistan Peoples Party Parliamentarians,2518,142988,,NA
NA143,Pakistan Tehreek-e-Insaf,89177,142988,,NA
NA143,Pakistan Tehreek-e-Insaf (Nazriati),1354,142988,,NA
NA143,Tehreek Labbaik Pakistan,5162,142988,,NA
NA144,Independent,112446,118670,,NA
NA144,Pakistan Muslim League (N),118670,118670,1,NA
NA144,Pakistan Peoples Party Parliamentarians,1247,118670,,NA
NA144,Tehreek Labbaik Pakistan,9100,118670,,NA
NA145,Independent,61206,118581,,NA
NA145,Mutahida Majlis-e-Amal Pakistan,1576,118581,,NA
NA145,Pakistan Human Party,8040,118581,,NA
NA145,Pakistan Muslim League (N),118581,118581,1,NA
NA145,Pakistan Tehreek-e-Insaf,90683,118581,,NA
NA146,Allah-O-Akbar Tehreek,4273,138789,,NA
NA146,Independent,9246,138789,,NA
NA146,Pakistan Human Party,20829,138789,,NA
NA146,Pakistan Kissan Ittehad (Ch. Anwar),2704,138789,,NA
NA146,Pakistan Muslim League (N),138789,138789,1,NA
NA146,Pakistan Peoples Party Parliamentarians,11772,138789,,NA
NA146,Pakistan Tehreek-e-Insaf,101509,138789,,NA
NA146,Tehreek-e-Labbaik Islam,9858,138789,,NA
NA147,Independent,20977,120906,,NA
NA147,Pakistan Muslim League (N),120906,120906,1,NA
NA147,Pakistan Peoples Party Parliamentarians,22765,120906,,NA
NA147,Pakistan Quami Yakjehti Party,266,120906,,NA
NA147,Pakistan Tehreek-e-Insaf,86462,120906,,NA
NA147,Tehreek Labbaik Pakistan,11657,120906,,NA
NA147,Tehrik Jawanan Pakistan,481,120906,,NA
NA148,All Pakistan Muslim League,1202,128880,,NA
NA148,Awam League,493,128880,,NA
NA148,Independent,13641,128880,,NA
NA148,Mutahida Majlis-e-Amal Pakistan,2718,128880,,NA
NA148,Pakistan Muslim League (N),128880,128880,1,NA
NA148,Pakistan Peoples Party Parliamentarians,18940,128880,,NA
NA148,Pakistan Tehreek-e-Insaf,87557,128880,,NA
NA148,Tehreek Labbaik Pakistan,15746,128880,,NA
NA149,All Pakistan Muslim League,711,139667,,NA
NA149,Allah-O-Akbar Tehreek,4991,139667,,NA
NA149,Independent,2201,139667,,NA
NA149,Mutahida Majlis-e-Amal Pakistan,2101,139667,,NA
NA149,National Party,169,139667,,NA
NA149,Pakistan Muslim League (N),113890,139667,,NA
NA149,Pakistan Peoples Party Parliamentarians,11871,139667,,NA
NA149,Pakistan Tehreek-e-Insaf,139667,139667,1,NA
NA149,Tehreek-e-Labbaik Islam,3026,139667,,NA
NA15,Independent,36355,95340,,NA
NA15,Mutahida Majlis-e-Amal Pakistan,7253,95340,,NA
NA15,Pak Sarzameen Party,377,95340,,NA
NA15,Pakistan Justice and Democratic Party,819,95340,,NA
NA15,Pakistan Muslim League (N),95340,95340,1,NA
NA15,Pakistan Peoples Party Parliamentarians,1007,95340,,NA
NA15,Pakistan Reh-e- Haq Party,2307,95340,,NA
NA15,Pakistan Tehreek-e-Insaf,82052,95340,,NA
NA15,Qaumi Watan Party,1789,95340,,NA
NA15,Tehreek Labbaik Pakistan,6867,95340,,NA
NA150,Independent,108042,108042,1,NA
NA150,Pakistan Muslim League (N),18086,108042,,NA
NA150,Pakistan Peoples Party Parliamentarians,4515,108042,,NA
NA150,Pakistan Tehreek-e-Insaf,91812,108042,,NA
NA151,Allah-O-Akbar Tehreek,2171,111203,,NA
NA151,Independent,483,111203,,NA
NA151,Pakistan Muslim League (N),111203,111203,1,NA
NA151,Pakistan Reh-e- Haq Party,1409,111203,,NA
NA151,Pakistan Tehreek-e-Insaf,109527,111203,,NA
NA151,Tehreek-e-Difa-e-Pakistan,8973,111203,,NA
NA152,Independent,1857,108722,,NA
NA152,Mutahida Majlis-e-Amal Pakistan,1355,108722,,NA
NA152,Pakistan Muslim League (N),98953,108722,,NA
NA152,Pakistan Peoples Party Parliamentarians,12010,108722,,NA
NA152,Pakistan Tehreek-e-Insaf,108722,108722,1,NA
NA152,Tehreek Labbaik Pakistan,8390,108722,,NA
NA153,Independent,56398,106311,,NA
NA153,Pakistan Kissan Ittehad (Ch. Anwar),653,106311,,NA
NA153,Pakistan Muslim League (N),106311,106311,1,NA
NA153,Pakistan Tehreek-e-Insaf,76929,106311,,NA
NA153,Tehreek Labbaik Pakistan,7144,106311,,NA
NA154,All Pakistan Muslim League,614,74209,,NA
NA154,Independent,43987,74209,,NA
NA154,Mutahida Majlis-e-Amal Pakistan,1105,74209,,NA
NA154,Pakistan Muslim League (N),20977,74209,,NA
NA154,Pakistan Peoples Party Parliamentarians,64249,74209,,NA
NA154,Pakistan Siraiki Party (T),1815,74209,,NA
NA154,Pakistan Tehreek-e-Insaf,74209,74209,1,NA
NA154,Tehreek Labbaik Pakistan,7661,74209,,NA
NA155,All Pakistan Muslim League,580,136033,,NA
NA155,Allah-O-Akbar Tehreek,1735,136033,,NA
NA155,Awami National Party,179,136033,,NA
NA155,Independent,9516,136033,,NA
NA155,Mustaqbil Pakistan,128,136033,,NA
NA155,Pak Sarzameen Party,124,136033,,NA
NA155,Pakistan Muslim League (N),81081,136033,,NA
NA155,Pakistan Sunni Tehreek,110,136033,,NA
NA155,Pakistan Tehreek-e-Insaf,136033,136033,1,NA
NA155,Tehreek Labbaik Pakistan,5607,136033,,NA
NA155,Tehreek-e-Labbaik Islam,1964,136033,,NA
NA156,All Pakistan Muslim League,267,116272,,NA
NA156,Allah-O-Akbar Tehreek,2421,116272,,NA
NA156,Independent,4995,116272,,NA
NA156,Mustaqbil Pakistan,222,116272,,NA
NA156,Mutahida Majlis-e-Amal Pakistan,2511,116272,,NA
NA156,Pakistan Awami Raj,241,116272,,NA
NA156,Pakistan Kissan Ittehad (Ch. Anwar),568,116272,,NA
NA156,Pakistan Muslim League (N),84940,116272,,NA
NA156,Pakistan Tehreek-e-Insaf,116272,116272,1,NA
NA156,Tehreek Labbaik Pakistan,6301,116272,,NA
NA157,Independent,3399,77274,,NA
NA157,Pakistan Muslim League (N),62037,77274,,NA
NA157,Pakistan Peoples Party Parliamentarians,70669,77274,,NA
NA157,Pakistan Tehreek-e-Insaf,77274,77274,1,NA
NA157,Tehreek Labbaik Pakistan,5887,77274,,NA
NA158,Independent,5034,84090,,NA
NA158,Pakistan Muslim League (N),73277,84090,,NA
NA158,Pakistan Peoples Party Parliamentarians,75356,84090,,NA
NA158,Pakistan Siraiki Party (T),4308,84090,,NA
NA158,Pakistan Tehreek-e-Insaf,84090,84090,1,NA
NA159,Independent,15546,102606,,NA
NA159,Pakistan Muslim League (N),99374,102606,,NA
NA159,Pakistan Tehreek-e-Insaf,102606,102606,1,NA
NA159,Tehreek Labbaik Pakistan,6033,102606,,NA
NA159,Tehreek Tabdili Nizam Pakistan,3226,102606,,NA
NA16,Awami National Party,521,85203,,NA
NA16,Independent,17165,85203,,NA
NA16,Mutahida Majlis-e-Amal Pakistan,4147,85203,,NA
NA16,Pakistan Muslim League (N),54879,85203,,NA
NA16,Pakistan Reh-e- Haq Party,7896,85203,,NA
NA16,Pakistan Tehreek-e-Insaf,85203,85203,1,NA
NA16,Qaumi Watan Party,2353,85203,,NA
NA16,Tehreek Labbaik Pakistan,3064,85203,,NA
NA160,Independent,987,125740,,NA
NA160,Pakistan Muslim League (N),125740,125740,1,NA
NA160,Pakistan Peoples Party Parliamentarians,15171,125740,,NA
NA160,Pakistan Tehreek-e-Insaf,115321,125740,,NA
NA160,Tehreek Labbaik Pakistan,10316,125740,,NA
NA161,Allah-O-Akbar Tehreek,967,121832,,NA
NA161,Independent,10743,121832,,NA
NA161,Mutahida Majlis-e-Amal Pakistan,809,121832,,NA
NA161,Pakistan Aman Tehreek,1718,121832,,NA
NA161,Pakistan Muslim League (N),116117,121832,,NA
NA161,Pakistan Tehreek-e-Insaf,121832,121832,1,NA
NA161,Pakistan Tehreek-e-Insaf-Gulalai,1625,121832,,NA
NA161,Saraikistan Democratic Party,724,121832,,NA
NA161,Tehreek Labbaik Pakistan,4467,121832,,NA
NA162,Independent,74330,81956,,NA
NA162,Mutahida Majlis-e-Amal Pakistan,1697,81956,,NA
NA162,Pakistan Kissan Ittehad (Ch. Anwar),468,81956,,NA
NA162,Pakistan Muslim League (N),81956,81956,1,NA
NA162,Pakistan Peoples Party Parliamentarians,2710,81956,,NA
NA162,Pakistan Tehreek-e-Insaf,58602,81956,,NA
NA162,Tehreek Labbaik Pakistan,10464,81956,,NA
NA163,Independent,31859,70328,,NA
NA163,Pakistan Human Party,5083,70328,,NA
NA163,Pakistan Kissan Ittehad (Ch. Anwar),4613,70328,,NA
NA163,Pakistan Muslim League (N),70328,70328,1,NA
NA163,Pakistan Peoples Party Parliamentarians,27758,70328,,NA
NA163,Pakistan Tehreek-e-Insaf,56859,70328,,NA
NA163,Tehreek Labbaik Pakistan,15487,70328,,NA
NA164,Amun Taraqqi Party,181,82084,,NA
NA164,Independent,65238,82084,,NA
NA164,Jamhoori Watan Party,156,82084,,NA
NA164,Pakistan Muslim League (N),68198,82084,,NA
NA164,Pakistan Peoples Party Parliamentarians,2625,82084,,NA
