Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
NOWSHERA-I,NA-5,Asif Luqman Qazi,Jamaat-e-Islami Pakistan,19869,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Aziz ud Din,Independent,1005,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Eng Muhammad Tariq Khattak,Pakistan Peoples Party Parliamentarians,10171,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Iran Bacha,Pakistan Patriotic Movement,494,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Mufti Muhammad Sajjad,Jamiat Ulama-e-Islam (F),14131,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Muhammad Daud Khattak,Awami National Party,21435,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Pervez Khattak,Pakistan Tehreek-e-Insaf,70053,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Pir Zada Nabi Amin,Pakistan Muslim League (N),11648,156152,4521,159999,320675,49.89 %
NOWSHERA-I,NA-5,Shahzad Ali Khan,Independent,5541,156152,4521,159999,320675,49.89 %
NOWSHERA-II,NA-6,Amin Akber,Independent,3983,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Iqbal Hussain,Independent,203,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Irshad Ali,Independent,408,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Kamal Shah,Pakistan Peoples Party (Shaheed Bhutto),263,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Khan Adil Ghaffar Khan Khattak,Independent,921,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Maj Retd Liaqat Ali Shah Gailani,Pakistan Peoples Party Parliamentarians,5121,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Masood Abbas,Awami National Party,20316,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Mian Shahenshah,Independent,3207,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Molana Hamid ul Haq Haqqani,MUTAHIDA DEENI MAHAZ,11110,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Saeed Ullah,Independent,1453,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Siraj Muhammad Khan,Pakistan Tehreek-e-Insaf,54266,136313,5025,140891,299273,47.08 %
NOWSHERA-II,NA-6,Syed Zulfiqar Ali Shah,Pakistan Muslim League (N),34537,136313,5025,140891,299273,47.08 %
CHARSADDA-I,NA-7,Asfandyar Wali Khan,Awami National Party,38264,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Fazal Muhammad Khan,Pakistan Tehreek-e-Insaf,40254,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Ishtiaq Ahmad,MUTAHIDA DEENI MAHAZ,1032,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Kaleem Akbar Durrani,Pakistan Muslim League (N),3527,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Khanim Ullah,Pakistan Peoples Party Parliamentarians,6856,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Maulana Muhammad Gohar Shah,Jamiat Ulama-e-Islam (F),53610,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Muhammad Arshad Khan,Jamaat-e-Islami Pakistan,22664,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Nadir Khan,All Pakistan Muslim League,503,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Noor Zeb,Independent,1884,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Omar Shahzad,Independent,574,169170,5113,173869,376144,46.22 %
CHARSADDA-I,NA-7,Sikandar Hayat Khan,Qaumi Watan Party (Sherpao),2,169170,5113,173869,376144,46.22 %
CHARSADDA-II,NA-8,Abdul Mustaan,Jamaat-e-Islami Pakistan,11034,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Aftab Ahmad Khan Sherpao,Qaumi Watan Party (Sherpao),37044,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Arbab Hussain,Independent,895,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Gul Yousaf,Independent,1011,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Jehangir Khan,Pashtoonkhwa Milli Awami Party,929,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Jehanzeb Khan Dhakki,Pakistan Tehreek-e-Insaf,30089,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Khurshid Ali Khan,Pakistan Muslim League,361,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Liaqat Ali,Muttahida Qaumi Movement Pakistan,387,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Muhammad Taimoor Khan,Awami National Party,15953,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Musammir Shah,Jamiat Ulama-e-Islam (F),33836,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Sajjad Anwar Khan,Pakistan Muslim League (N),2678,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Syed Zakir Shah,All Pakistan Muslim League,183,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Umara Khan,Independent,299,139141,4625,143540,327423,43.63 %
CHARSADDA-II,NA-8,Waseef Ullah Khan,Pakistan Peoples Party Parliamentarians,3848,139141,4625,143540,327423,43.63 %
MARDAN-I,NA-9,Amir Haider Khan,Awami National Party,44769,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Atta ur Rahman,Jamaat-e-Islami Pakistan,4578,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Didar Shah,Independent,1211,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Inam Khan,Pakistan Muslim League,290,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Ma us Sama Aryani,Independent,82,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Nasir Khan,Pakistan Tehreek-e-Insaf,42068,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Nawabzada Khawaja Muhammad Khan Hoti,Pakistan Muslim League (N),32090,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Qayum Khan,Muttahida Qaumi Movement Pakistan,293,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Shazia Aurangzeb Khan,Pakistan Peoples Party Parliamentarians,7002,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Shuja ul Mulk,Jamiat Ulama-e-Islam (F),14427,148390,3558,151637,336177,45.12 %
MARDAN-I,NA-9,Yousaf Shah,Independent,87,148390,3558,151637,336177,45.12 %
MARDAN-II,NA-10,Abdul Ghaffar Khan Mohmand,Tehreek-e-Pasmanada Awam Pakistan,1638,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Ali Muhammad Khan,Pakistan Tehreek-e-Insaf,46531,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Maulana Noor ul Haq,Muttahida Qaumi Movement Pakistan,170,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Mualana Muhammad Qasim,Jamiat Ulama-e-Islam (F),39269,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Muhammad Farooq Khan,Awami National Party,19436,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Muhammad Fayaz,Jamiat Ulama-e-Pakistan  (Noorani),3426,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Naseem Muhammad Khan,Pakistan Muslim League (N),11491,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Nawabzada Abdul Qadir Khan,Pakistan Peoples Party Parliamentarians,15345,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Sultan Muhammad,Jamaat-e-Islami Pakistan,19107,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Yar Badshah,All Pakistan Muslim League,160,157463,4834,161347,321660,51 %
MARDAN-II,NA-10,Zardali Khan,Pakistan Muslim League,166,157463,4834,161347,321660,51 %
MARDAN-III,NA-11,Abdul Nazeer,Jannat Pakistan Party,352,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Bakhtiar Ali,Independent,267,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Gul Nawaz Khan,Jamaat-e-Islami Pakistan,15536,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Himmat Ali,Tehreek-e-Ittehad Ummat Pakistan,327,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Ikram Ul Haq Khan,Pashtoonkhwa Milli Awami Party,652,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Imdad Ullah Yousafzai,Jamiat Ulama-e-Islam (F),26623,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Inayat Khan,Awami National Party,11506,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Khanzada Khan,Pakistan Peoples Party Parliamentarians,26928,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Mujahid Ali,Pakistan Tehreek-e-Insaf,38233,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Nawab Ali,Independent,176,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Sher Afghan Khan,Pakistan Muslim League (N),12659,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Syed Amin Shah Bacha,Independent,707,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Syed Naveed Ali Shah,All Pakistan Muslim League,187,132539,3970,136212,329285,42 %
MARDAN-III,NA-11,Wahid Ali Naqshband,Jamiat Ulama-e-Pakistan  (Noorani),220,132539,3970,136212,329285,42 %
SWABI-I,NA-12,Abdul Hakam,MUTAHIDA DEENI MAHAZ,329,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Ahmad Mustafa,Pakistan Peoples Party Parliamentarians,4949,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Amanullah,Independent,360,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Anwar Haqdad,Pakistan Tehreek-e-Insaf,19661,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Engineer Usman Khan Tarrakai,Awami Jamhuri Ittehad Pakistan,56680,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Haji Rehmanullah,Awami National Party,37437,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Ishfaq ullah Khan,Jamiat Ulama-e-Islam (F),21651,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Khalid Ibrar,All Pakistan Muslim League,394,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Khan Zada,Awami Workers Party,152,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Mian Saleem Akbar,Jamaat-e-Islami Pakistan,2166,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Muhammad Israr,Pakistan Muslim League (N),7227,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Murad Ali,Pashtoonkhwa Milli Awami Party,242,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Said Mukhtiar Bacha,Independent,152,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Shah Faisal Khan,Independent,852,152455,4094,155163,351675,44.12 %
SWABI-I,NA-12,Shahid Ahmad,Pak Justic Party (Haqiqi),203,152455,4094,155163,351675,44.12 %
SWABI-II,NA-13,Abdul Rasheed Yousafzai,Pakistan Patriotic Movement,454,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Amir Nawaz Khan,Jamaat-e-Islami Pakistan,4886,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Asad Qaisar,Pakistan Tehreek-e-Insaf,48576,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Attaul Haq,Jamiat Ulama-e-Islam (F),28672,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Iftikhar Ahmed Khan,Pakistan Muslim League (N),21416,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Inamullah,Jannat Pakistan Party,380,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Muhammad Jamil,MUTAHIDA DEENI MAHAZ,252,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Muhammad Kaleem,Independent,585,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Muhammad Naeem,Pakistan Peoples Party Parliamentarians,6824,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Muhammad Sarwar Khan,Awami National Party,14201,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Muhammad Usman Khan,Pashtoonkhwa Milli Awami Party,398,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Mulana Khalil Ahmed,Jumiat Ulma-e-Islam(Nazryati),7765,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Said Anwar Shah,Independent,198,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Shahid Khan,Independent,1165,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Shahram Khan,Awami Jamhuri Ittehad Pakistan,14495,155745,4191,159276,362779,43.90 %
SWABI-II,NA-13,Shamsul Qamar,Independent,1075,155745,4191,159276,362779,43.90 %
KOHAT,NA-14,Abdul Qadeer Khan,Muttahida Qaumi Movement Pakistan,130,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Badshah Gul,Independent,4814,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Gohar Mohammad Khan Bangesh,Jamiat Ulama-e-Islam (F),32041,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Khursheed Begum Saeed,Awami National Party,7211,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Malik Muhammad Asad Khan,Pakistan Muslim League (N),13789,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Mohammad Ihsanullah,Independent,471,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Mohammad Nawaz Khan,Pashtoonkhwa Milli Awami Party,312,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Najeebullah Durrani,Qaumi Watan Party (Sherpao),414,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Nazia Zulfiqar,Independent,254,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Pir Dilawar Shah,Pakistan Peoples Party Parliamentarians,10041,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Shamim Afridi,Independent,19135,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Shehryar Afridi,Pakistan Tehreek-e-Insaf,68129,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Sher Rehman,Independent,159,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Syed Mohammad Faheem,Jamaat-e-Islami Pakistan,3558,170165,5600,174912,409775,42.68 %
KOHAT,NA-14,Ubaid Ullah,MUTAHIDA DEENI MAHAZ,9209,170165,5600,174912,409775,42.68 %
KARAK,NA-15,Altaf Ahmad,Independent,83,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Altaf Qadir,Independent,1123,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Asad Ullah Shah,Muttahida Qaumi Movement Pakistan,327,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Asif Noor,Independent,453,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Jamal Khan,Tehrik-e-Masawaat,99,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Masood Sharif Khan Khattak,Independent,15678,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Mohammad Shah Jehan,Millat Party,0,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Muhammad Sardar,Jamiat Ulama-e-Islam (F),13226,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Muhammad shah jehan,Pakistan Peoples Party Parliamentarians,2263,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Muhammad Sharif Khattak,Awami National Party,7559,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Muhammad Tasleem Iqbal,Jamaat-e-Islami Pakistan,5105,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Muhammad Umer,Independent,1097,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Munir Khan,Independent,572,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Nasir Khan Khattak,Pakistan Tehreek-e-Insaf,51481,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Rafi Ullah,Pashtoonkhwa Milli Awami Party,387,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Rehmat Salam Khattak,Pakistan Muslim League (N),29815,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Sakhi Marjan,Independent,409,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Shad Mohammad Khan,Jamiat Ulama-e-Pakistan  (Noorani),93,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Shah Abdul Aziz,MUTAHIDA DEENI MAHAZ,29224,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Shahenshah,Independent,211,159615,4284,162657,314969,51.64 %
KARAK,NA-15,Shams ur Rehman Khattak,Independent,67,159615,4284,162657,314969,51.64 %
HANGU,NA-16,Arif Hussain,Independent,1327,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Azeem Ullah,Independent,813,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Hassan Ahmed Khan,Independent,479,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Khan Ameer,Independent,361,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Khial Zaman Aurak Zai,Pakistan Tehreek-e-Insaf,24067,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Malik Khalid Naeem,Pakistan Muslim League (N),5411,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Maulana Mian Hussain Jalali,Jamiat Ulama-e-Islam (F),21137,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Muhammad Aslam,Jamaat-e-Islami Pakistan,1777,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Syed Haider Ali Shah,Awami National Party,4479,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Syed Ibne Ali,Pakistan Peoples Party Parliamentarians,4700,64933,1657,65140,214703,30.81 %
HANGU,NA-16,Umar Fayaz,Independent,382,64933,1657,65140,214703,30.81 %
ABBOTTABAD-I,NA-17,Ayaz Khan Jadoon,Independent,8349,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Dr Muhammad Azhar Khan Jadoon,Pakistan Tehreek-e-Insaf,96549,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Fida Hussain,Tehreek-e-Suba Hazara,2076,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Habib ur Rehman Abbasi,Jamaat-e-Islami Pakistan,4408,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Safdar Zaman,Pakistan Muslim League (Safdar),890,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Sardar Mehtab Ahmed Khan,Pakistan Muslim League (N),69721,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Sardar Muhammad Gulzar Abbasi,Pakistan Peoples Party Parliamentarians,1107,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Sarfaraz Khan,Muttahida Qaumi Movement Pakistan,526,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Tariq Sultan,Jamiat Ulama-e-Islam (F),3504,187753,3932,191061,338273,56.48 %
ABBOTTABAD-I,NA-17,Zahoor Ahmed Chaudry,Independent,283,187753,3932,191061,338273,56.48 %
ABBOTTABAD-II,NA-18,Asad Javed Khan,Hazara Awami Ittehad Pakistan,214,181627,6784,187224,336924,55.57 %
